Iteration,Random_Max,Random_Avg
620,0.371953,0.123674
621,0.371953,0.129638
622,0.371953,0.129670
623,0.371953,0.130229
624,0.371953,0.127005
625,0.371953,0.131137
626,0.371953,0.126880
627,0.371953,0.127586
628,0.371953,0.125809
629,0.371953,0.131701
630,0.371953,0.129251
631,0.371953,0.127794
632,0.371953,0.128342
633,0.371953,0.127892
634,0.371953,0.126168
635,0.371953,0.130620
636,0.371953,0.123176
637,0.371953,0.129193
638,0.371953,0.127949
639,0.371953,0.129142
640,0.371953,0.129977
641,0.371953,0.128700
642,0.371953,0.130342
643,0.371953,0.126451
644,0.371953,0.131097
645,0.371953,0.130338
646,0.371953,0.128011
647,0.371953,0.127099
648,0.371953,0.125782
649,0.371953,0.135172
650,0.371953,0.127118
651,0.371953,0.130730
652,0.378946,0.130104
653,0.378946,0.125367
654,0.378946,0.126477
655,0.378946,0.125734
656,0.378946,0.130865
657,0.378946,0.129063
658,0.378946,0.130322
659,0.378946,0.128188
660,0.378946,0.128267
661,0.378946,0.128843
662,0.378946,0.127704
663,0.378946,0.129012
664,0.378946,0.128940
665,0.378946,0.128317
666,0.378946,0.125869
667,0.378946,0.126616
668,0.378946,0.126634
669,0.378946,0.126707
670,0.378946,0.124944
671,0.378946,0.129414
672,0.378946,0.131047
673,0.378946,0.128212
674,0.378946,0.127173
675,0.378946,0.125289
676,0.378946,0.127833
677,0.378946,0.128934
678,0.378946,0.128777
679,0.378946,0.128914
680,0.378946,0.123090
681,0.378946,0.129714
682,0.378946,0.125971
683,0.378946,0.132000
684,0.378946,0.129983
685,0.378946,0.126396
686,0.378946,0.130946
687,0.378946,0.127375
688,0.381220,0.129067
689,0.381220,0.128350
690,0.381220,0.129494
691,0.381220,0.126636
692,0.381220,0.130085
693,0.381220,0.126112
694,0.381220,0.128292
695,0.381220,0.128107
696,0.381220,0.129962
697,0.381220,0.128653
698,0.381220,0.130686
699,0.381220,0.128029
700,0.381220,0.128790
701,0.381220,0.127060
702,0.381220,0.129903
703,0.381220,0.128972
704,0.381220,0.129216
705,0.381220,0.133796
706,0.381220,0.129747
707,0.381220,0.130442
708,0.381220,0.127699
709,0.381220,0.128178
710,0.381220,0.130741
711,0.381220,0.130088
712,0.381220,0.128128
713,0.381220,0.132067
714,0.381220,0.127305
715,0.381220,0.127419
716,0.381220,0.128607
717,0.381220,0.131589
718,0.381220,0.128931
719,0.381220,0.128796
720,0.381220,0.130074
721,0.381220,0.127734
722,0.381220,0.130753
723,0.381220,0.126389
724,0.381220,0.128888
725,0.381220,0.124904
726,0.381220,0.130212
727,0.381220,0.126399
728,0.381220,0.126811
729,0.381220,0.132280
730,0.381220,0.126512
731,0.388239,0.133531
732,0.388239,0.131401
733,0.388239,0.130280
734,0.388239,0.130868
735,0.388239,0.124575
736,0.388239,0.129255
737,0.388239,0.132524
738,0.388239,0.130572
739,0.388239,0.130498
740,0.411349,0.132481
741,0.411349,0.129149
742,0.411349,0.125801
743,0.411349,0.126135
744,0.411349,0.130222
745,0.411349,0.129061
746,0.411349,0.127159
747,0.411349,0.124657
748,0.411349,0.124973
749,0.411349,0.129605
750,0.411349,0.129643
751,0.411349,0.127438
752,0.411349,0.129591
753,0.411349,0.128052
754,0.411349,0.130707
755,0.411349,0.129388
756,0.411349,0.128322
757,0.411349,0.125500
758,0.411349,0.124788
759,0.411349,0.128514
760,0.411349,0.126787
761,0.411349,0.125896
762,0.411349,0.131312
763,0.411349,0.129221
764,0.411349,0.127895
765,0.411349,0.130157
766,0.411349,0.129563
767,0.411349,0.128124
768,0.411349,0.130057
769,0.411349,0.129808
770,0.411349,0.130216
771,0.411349,0.128715
772,0.411349,0.130181
773,0.411349,0.129339
774,0.411349,0.130371
775,0.411349,0.128543
776,0.411349,0.127768
